University,Programme,Tuition fee,Duration,Apply date,Start date,Campus location,Taught in,Overview,Programme structure,Tuition Fees,Living costs,TOEFL,IELTS,Category
The Hong Kong University of Science and Technology,Public Management,"160,844 CNY / year",1 year,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
By equipping the students with the skills and knowledge to cope with the increasingly dynamic and complex challenges of the public sector, they would develop managerial capacities, such as the analytical skills, managerial competence, and political acumen, that are essential for successful career in public sector organizations. Given the importance of technology innovation and sustainability, the program provides the students with an interdisciplinary study with a strong emphasis on the policy, management and governance issues concerning technological innovation and sustainability. The Master of Public Management (MPM) Program is offered at The Hong Kong University of Science and Technology.

On successful completion of the program, graduates will be able to:
Deploy, in a variety of different policy-relevant contexts, the necessary academic and management tools to develop their leadership potential;Analyze and manage complex multi-dimensional policy and managerial issues; andDemonstrate a strong appreciation and capacity in policy analysis and management while addressing analytical, operational and political challenges.    I want to find another Master Course","Programme Structure
 
Courses included:
?Public Management: Theories and Practices
?Economic Reasoning for Public Management
?Managing for Sustainability
?Managing the Policy Process
?Public Management for Technology InnovationCapstone Project",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,80,,Social Sciences
The Hong Kong University of Science and Technology,Public Policy,"38,689 CNY / year",2 years,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Given the breadth and depth of research faculty expertise across departments and schools in HKUST, students in the Public Policy Programmes from the The Hong Kong University of Science and Technology will have the opportunity to specialize in one of the following key policy area: Science, Technology and Innovation Policy, Environmental Policy and Sustainability, Social Changes and Public Policy, and China&rsquo;s Development Policy.

The MPhil Programme aims to train students to conduct independent interdisciplinary research in public policy. A candidate for an MPhil degree is expected to demonstrate knowledge in the discipline and to synthesize and create new knowledge, making a contribution to the field.

Learning Outcomes

On successful completion of the MPhil programme, graduates will be able to:
?Identify, define and discuss complex policy problems from the perspective of policy science.Acquire the critical thinking and research skills essential for policy research.Exercise Independent and critical judgements in the debates about public policy.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Public Policy
?Research Methods in Public Policy
?Microeconomics and Public Policy
?Applied Econometrics
?Advanced Analytical Methods for Public Policy",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,80,6.5,Social Sciences
The Hong Kong University of Science and Technology,Public Policy,"121,719 CNY / year",2 years,26-May,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Master of Public Policy (MPP) Program at The Hong Kong University of Science and Technology provides students with complete professional training that focuses on problem-solving skills with real-world cases and examples, such as information technology and telecommunications, environment, energy, health care, transportation and finance. 

Designed for students with diverse educational backgrounds, including social science, science, engineering, business, and other fields of study, this two-year full-time program consists of a core curriculum, a client-based policy analysis project, and elective courses allowing students to develop their areas of specialization.

On successful completion of the program, graduates will be able to:
Adopt interdisciplinary perspectives on global policy challenges and innovative solutions;Competently apply appropriate analytical tools for problem-solving in the real world;Establish and employ professional expertise in specialization areas of their choices;Develop and apply managerial acumen essential for future leaders in public and private sectors.     I want to find another Master Course","Programme Structure
 
Courses included:
?Public Policy
?Microeconomics and Public Policy
?Quantitative Analysis and Empirical Methods3 Credit
?Public Policy Analysis
?Evidence in Public Policy
?Public Management and LeadershipPolicy Analysis Project",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,80,,Social Sciences
The Hong Kong Polytechnic University,Sustainable Technology for Carbon Neutrality,"6,660 HKD/credit
25,504 USD / year",1 year,27-Apr,27-Aug,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Such training will enable graduates to meet the increasing local and national demand for qualified professionals in the field of carbon neutrality.

 Specifically, the Sustainable Technology for Carbon Neutrality programme at The Hong Kong Polytechnic University aims:
?To equip students with up-to-date scientific and technological knowledge to address current and emerging environmental issues and concerns.To develop students&rsquo; ability to formulate and implement the latest scientific and management concepts and tools and thus address corporations&rsquo; need to achieve their zero-emissions goals.To provide rigorous cross-disciplinary training that enables students to create innovative and multi-faceted solutions to problems involving carbon neutrality, energy transition and low-carbon energy conversion systems.

Prospects
Graduates of the programme have excellent job prospects, with potential careers in the areas of corporate sustainability management, ESG consultancy and green finance in the finance sector. They may hold titles such as compliance officer, sustainability manager/executive, and sustainability consultant/analyst/specialist.    I want to find another Master Course","Programme Structure
 
Courses
?Sustainable Finance
?Ecological Approaches for Carbon Management
? Materials Science for Carbon Neutrality Applications
?Renewable Energies and Technologies I: Hydrogen and Biofuels
? Quality Assurance for Greenhouse Gases (GHGs): Statements and Management Principles for Methodologies on Climate Actions",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,80,6,Engineering&Technology
Lingnan University,Cities and Governance,"144,325 CNY / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Key Facts

Given that urban authorities are increasingly recognising the need to share responsibility with other actors, these careers could be in government, or with quasi-government bodies, NGOs, think tanks or corporations &ndash; especially those corporations engaged in the development of the Greater Bay Area (GBA). 

In 2018, Beijing announced a framework for the development of the GBA, which encompasses Hong Kong, Macau and nine major cities in Guangdong. One of the principal drivers for establishing this  Cities and Governance Master program at Lingnan University was to explain how Hong Kong can be best integrated into the GBA.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Cities and Social Change
?Regional Policy Study and Visit in the Greater Bay Area
?History, Heritage and Regional Perspectives
?Smart and Sustainable Cities
?Ageing Policies in Greater China",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Social Sciences
Lingnan University,"Cities and Governance, Environment and Sustainability","21,189 USD / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Key Facts

Given that urban authorities are increasingly recognising the need to share responsibility with other actors, these careers could be in government, or with quasi-government bodies, NGOs, think tanks or corporations &ndash; especially those corporations engaged in the development of the Greater Bay Area (GBA). 

In 2018, Beijing announced a framework for the development of the GBA, which encompasses Hong Kong, Macau and nine major cities in Guangdong. One of the principal drivers for establishing this Cities and Governance, Environment and Sustainability program at Lingnan University was to explain how Hong Kong can be best integrated into the GBA.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Cities and Social Change
?Regional Policy Study and Visit in the Greater Bay Area
?History, Heritage and Regional Perspectives
?Smart and Sustainable Cities
?Ageing Policies in Greater China",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,79,6.5,Social Sciences
Lingnan University,Housing Policy and Management,"21,929 USD / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Dive into the realm of housing policy and management with Lingnan University&#039;s Housing Policy and Management program. Explore the intricacies of housing systems, urban development, and the socioeconomic factors that shape housing markets.

Key Features
?In-depth study of housing policy formulation, implementation, and evaluation.Examination of housing market dynamics, affordability, and housing finance.Analysis of urban development, land-use planning, and sustainable housing solutions.Integration of theoretical knowledge with practical skills through case studies and fieldwork.Collaboration with experienced faculty and industry professionals.Emphasis on data analysis, policy analysis, and evidence-based decision making.Opportunities for internships, research projects, and engagement with housing organizations.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Housing Policy Analysis and EvaluationHousing Economics and FinanceUrban Development and Housing MarketsSustainable Housing and Community DevelopmentSocial Housing and Affordable Housing ProgramsLand-Use Planning and Housing PolicyHousing Management and GovernanceResearch Methods in Housing StudiesCapstone Project in Housing Policy and Management",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,79,6.5,Social Sciences
Lingnan University,Humanitarian Technology and Inclusive Business,180000 HKD / year,1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Entrepreneurial leaders with technical insights and creative problem-solving skills are broadly needed in all industries. Humanitarian Technology and Inclusive Business graduates at Lingnan University with global vision and a passion for innovation will play proactive roles to lead the fight against global issues, such as inequality, climate justice, food security, and the global digital divide. 

With the rapid technological disruption and shrinking need for low-skill labor, the gap between the rich and the poor is only expected to widen. Inclusive business strategies that focus on solving the last-mile delivery challenge and scaling operations in emerging markets are promising ways to improve equity and accessibility to technologies and services. 

By combining humanitarian technology and inclusive business strategies, HTIB graduates will take an evidence-based approach to develop socially viable, commercially scalable, and environmentally sustainable products and services to improve the human condition.

Aims
The programme aims to:?Introduce students to the concepts and design process of humanitarian technology,Equip students with the fundamental of inclusive business and innovation framework,Equip students with inclusive business strategy and product/service design toolkits,Introduce students to best practices in disaster and crisis management framework, andEmpower students to develop humanitarian technology and implement scalable business.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Humanitarian Technology
?Rural Food-Energy-Water System
?Gerontechnology
?Inclusive Business
?Entrepreneurship for social startups",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,79,6.5,Business
Lingnan University,Smart Ageing and Gerontology,"117,242 CNY / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Key Facts

The Lingnan University&#039;s Smart Ageing and Gerontology programme, co-developed by Lingnan University (LU) and the Hong Kong Metropolitan University (HKMU), is suitable for people interested in advancing their careers in gerontology and ageing research and service delivery in the context of modern technologies.

By drawing on the research strengths of two universities, the programme will deliver a world-class training to students of different background and work experience.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Ageing Policies in Greater China
?Research in Health and Social Services
?Positive Gerontology
?Data Analytics in Health and Health Services
Smart Ageing?Human Genomics: Implications for Health
?Building Resilience in the Smart Era
?Frailty Older Adults",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Social Sciences
Lingnan University,Arts and Cultural Heritage Management,"10,965 USD / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Students will benefit from diverse experiential learning in this programme by having internship/placements or other forms of learning activities based in Hong Kong and the UK.

Innovative Curriculum

Lingnan University&#039;s Arts and Cultural Heritage Management MA is a unique programme that offers a high-quality academic curriculum while offering the option for students to engage in practicums and study abroad. It enables students to put theory into practice and apply their knowledge to solve real-world problems.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Critical Issues for Culture and Heritage Management
?Cultural Policy and Practice
?Arts Exhibition and Performance Management
?History and Heritage of the Greater Bay Area 
?The Visitor Experience at Cultural and Heritage Attractions
?Digitising Cultural and Heritage Collections",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,,6.5,Art
Lingnan University,"Arts and Cultural Heritage Management, Heritage Tourism and Management","149,367 CNY / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
The Lingnan University&#039;s Arts and Cultural Heritage Management, Heritage Tourism and Management MA program provides a pathway for students who would prefer to gain more in-depth knowledge of heritage tourism and management in the Hong Kong context. Students who opt for this HTM concentration are required to complete all the required courses and will be awarded a single award from Lingnan University. 

Aims &amp; Intended Learning Outcomes

Aims of the ConcentrationIn addition to the central aims of the MA ACHM, the Concentration content shall equip students with theoretical and empirical knowledge of heritage tourism and management, while allowing them to design a prototype to address a specific gap related to heritage tourism or conduct a research-based on a critical literature review related to innovation in the heritage tourism sector. Its specific aims are to:
?Provide students with the understanding of critical issues faced in the heritage tourism sector now and in the changing future and the tools to tackle them;Equip students with fundamental knowledge to manage cultural assets and its application in Hong Kong; andEnhance the heritage tourism sector in terms of visibility and ecological sustainability.

Intended Learning Outcomes of the ConcentrationFor those who have opted for the Concentration, upon graduation, they shall be able to:
?Explain and assess key theories and frameworks in heritage tourism and management;
?Apply relevant theories and knowledge to tackle problems and challenges related to heritage tourism and management now and in the changing future;Design and carry out research on heritage tourism and management, and derive recommendations for innovation accordingly; and
?Apply knowledge of heritage tourism and management in the Hong Kong context.

Career Opportunities
?Tourism project managementCommunity project managementArt administrationPrivate and public cultural assets management
    I want to find another Master Course","Programme Structure
 
Courses include:
?Critical Issues for Culture and Heritage Management     
?Cultural Policy and Practice 
?Arts Exhibition and Performance Management        
?History and Heritage of the Greater Bay Area 
?Conservation and Management of Historic Sites and Buildings
?Cultural Tourism 
?Cultural Arts Management and Entrepreneurship 
?Design Methods for Creative Cultural Revitalisation",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Art
Lingnan University,China and Regional Studies,"21,189 USD / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Key features of the CRDS
?An interdisciplinary approach: CRDS includes courses and topics from disciplines such as Political Science, Cultural Studies, Sociology, Economics, and Urban Studies.Experiential learning: Students in the China and Regional Studies at Lingnan University will have opportunities for field visits and participate in international conferences and seminars to expose them to current research. CRDS students will also have the opportunity to participate in international student exchange programmes (e.g., summer school at the University of Oxford).Flexibility in programme curriculum: Students can choose a specialisation in CAS, CES, GBAS or even decide to enrol in courses from different CRDS concentrations depending on their interest. Applicants can opt for a full-time mode of study.
    I want to find another Master Course","Programme Structure
 
Courses include:
?China and Regional Studies: Politics, Policy, and International Development 
?Theories and Approaches of International Relations: From Global to China 
?Theories and Approaches of Comparative Politics: From Global to China 
?Global Connections and Cultural Diversity in Africa-China Relations 
?International Symposium on Sino-African Studies 
?China-Africa Relations: Past and Present 
?Managing Globalisation: China&rsquo;s Responses 
?Social Development and Policy Change in Asia 
?Global Finance and East Asia",Tuition fees are shown in USD and the most likely applicable fee is shown based on your nationality.,,79,6.5,Humanities
Lingnan University,Social Entrepreneurship and Innovation Management,"17,912 GBP / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Through this Lingnan University&#039;s Social Entrepreneurship and Innovation Management programme, students will gain knowledge and develop skills to be at the forefront of innovation and entrepreneurial transformation in today&rsquo;s rapidly changing society. Students will not only learn how to lead innovation within existing organisations; they will also gain skills to manage and scale new ventures in a sustainable way. 

Unlike traditional lecture-based master&rsquo;s degrees, this programme combines theoretical and practical teaching, allowing learners to gain invaluable hands-on experience and knowledge to become problem solvers for a better society.

Objectives
?Prepare students to become problem solvers, leaders and pioneers in social innovation with an entrepreneurial mindsetIntroduce students to the theories and methodologies of innovation management and social entrepreneurshipEquip students with pedagogies of innovation and humanitarian technology incubationProvide students with hands-on experiences and real-world exchange and internship practicums to prepare them for  upcoming career opportunities
    I want to find another Master Course","Programme Structure
 
Courses include:
?Design Methods for Creative Problem-Solving and Social Innovation
? Innovation Management
? Entrepreneurial Leadership for Social Startups
? Globalization, Policy and Society
? Inclusive Entrepreneurship &ndash; Scaling-Up in Developing Markets
?Gerontechnology: Design for an Ageing Society",Tuition fees are shown in GBP and the most likely applicable fee is shown based on your nationality.,,79,6.5,Social Sciences
Lingnan University,"Social Entrepreneurship and Innovation Management, Art and Design for Social Impact","165,886 CNY / year",1 year,26-Jun,26-Sep,"Hong Kong, Hong Kong (SAR)",English,"Overview
 
Students in the Social Entrepreneurship and Innovation Management, Art and Design for Social Impact MA at Lingnan University will be taught the underlying skills necessary to manage everything from the development of new methods for the presentation of exhibits in museums, to the use of technologies, such as AI, in visual advertisements and the movie industry. 

They will also learn how to use both innovative management techniques, and an entrepreneurial mindset, to ensure their projects have a positive social impact.

Key Facts

Students opting for the ADSI Concentration will take 2 courses which focus on applying design and innovation know-how in the context of both the creative industries and of intangible cultural heritage. The Interactive Arts and Technology course will provide students with hands-on experience of using digital and other technologies relevant to the creative arts and industries. 

The Design Methods for Arts and Culture course will teach similar problem-solving concepts and methods as the SEIM equivalent, but will look at them in the context of revitalising aspects of our intangible cultural heritage and of innovation within the creative industries.
    I want to find another Master Course","Programme Structure
 
Courses include:
?Design Innovation for Arts and Culture 
?Innovation Management
?Entrepreneurial Leadership for Social Startups
?Interactive Arts and Technology
?Globalization, Policy and Society
?Inclusive Entrepreneurship &ndash; Scaling-Up in Developing Markets
?Gerontechnology: Design for an Ageing Society",Tuition fees are shown in CNY and the most likely applicable fee is shown based on your nationality.,,79,6.5,Art
